Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Pyaar Mein Aisa Hota Hai,11-Jan-13,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
Rajdhani Express,4-Jan-13,N.A. Cr,N.A. Cr,0.33 Cr,0.35 Cr
Dekha Jo Pehli Baar,4-Jan-13,N.A. Cr,N.A. Cr,N.A. Cr,N.A. Cr
Meri Shadi Karao,4-Jan-13,N.A. Cr,N.A. Cr,0.06 Cr,0.06 Cr
Dehraadun Diary,4-Jan-13,N.A. Cr,N.A. Cr,0.33 Cr,0.35 Cr
Table No. 21,4-Jan-13,1.55 Cr,5.84 Cr,9.5 Cr,10.9 Cr
Ugly,26-Dec-14,0.40 Cr,1.65 Cr,3.34 Cr,6.23 Cr
PK,19-Dec-14,26.63 Cr,95.41 Cr,183.09 Cr,340.8 Cr
Room – The Mystery,12-Dec-14,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Life Mein Twist Hai,12-Dec-14,0 Cr N.A,0 Cr N.A,0.01 Cr,0.02 Cr
Main Aur Mr. Riight,12-Dec-14,0.04 Cr,0.15 Cr,0.29 Cr,0.33 Cr
LUV…..Phir Kabhie,12-Dec-14,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Kaash Tum Hote,12-Dec-14,N.A. Cr,N.A. Cr,0.02 Cr,0.05 Cr
Badlapur Boys,12-Dec-14,0.14 Cr,0.43 Cr,0.76 Cr,0.89 Cr
Bhopal: A Prayer For Rain,5-Dec-14,0 Cr N.A,0 Cr N.A,1.11 Cr,1.36 Cr
Action Jackson,5-Dec-14,10.25 Cr,29.25 Cr,45.16 Cr,57.78 Cr
Zid,28-Nov-14,2.82 Cr,8.68 Cr,14.08 Cr,14.08 Cr
Sulemani Keeda,28-Nov-14,0 Cr N.A,0 Cr N.A,0.11 Cr,0.16 Cr
Zed Plus,28-Nov-14,N.A. Cr,N.A. Cr,0.47 Cr,0.47 Cr
Ungli,28-Nov-14,3.6 Cr,12.8 Cr,19.15 Cr,19.47 Cr
Darr Ke Aage Jeet Hai,21-Nov-14,N.A Cr,N.A Cr,0.02 Cr,0.02 Cr
Gollu Aur Pappu,21-Nov-14,N.A Cr,N.A Cr,0.01 Cr,0.01 Cr
The Real Dream Girl,21-Nov-14,N.A Cr,N.A Cr,0.01 Cr,0.01 Cr
Happy Ending,21-Nov-14,3.75 Cr,13.0 Cr,19.05 Cr,19.44 Cr
Titoo MBA,21-Nov-14,N.A Cr,N.A Cr,0.10 Cr,0.10 Cr
Kill Dil,14-Nov-14,6.53 Cr,20.18 Cr,29.28 Cr,33.14 Cr
Money Back Gurantee,14-Nov-14,N.A Cr,N.A Cr,0.05 Cr,0.05 Cr
6-5=2,14-Nov-14,0.10 Cr,N.A. Cr,0.71 Cr,0.71 Cr
The Shaukeens,7-Nov-14,5.12 Cr,18.52 Cr,18.88 Cr,28.00 Cr
Chaar Sahibzaade,7-Nov-14,0 Cr N.A,0 Cr N.A,3.50 Cr,33.17 Cr
Rang Rasiya / Colors of Passion,7-Nov-14,0.63 Cr,2.31 Cr,3.89 Cr,4.8 Cr
Super Nani,31-Oct-14,0.50 Cr,1.42 Cr,2.52 Cr,2.61 Cr
Roar – Tigers Of The Sunderbans,31-Oct-14,1.60 Cr,5.00 Cr,7.68 Cr,8.68 Cr
C.D. Kand,24-Oct-14,N.A. Cr,N.A. Cr,0 Cr N.A,0.03 Cr
Happy New Year,24-Oct-14,44.97 Cr,108.86 Cr,157.57 Cr,203 Cr
Gurjar Aandolan,17-Oct-14,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Sonali Cable,17-Oct-14,0.14 Cr,0.45 Cr,0.81 Cr,0.91 Cr
Mumbai 125 KM,17-Oct-14,0.34 Cr,1.12 Cr,1.47 Cr,1.65 Cr
Jigariyaa,10-Oct-14,0.02 Cr,0.07 Cr,0.16 Cr,0.16 Cr
Tamanchey,10-Oct-14,0.22 Cr,0.66 Cr,1.30 Cr,1.46 Cr
Ekkees Toppon Ki Salaami,10-Oct-14,0.22 Cr,0.83 Cr,1.40 Cr,1.58 Cr
Spark,10-Oct-14,0.03 Cr,0.05 Cr,0.09 Cr,0.09 Cr
Bang Bang!,2-Oct-14,27.54 Cr,94.13 Cr,135.45 Cr,181.03 Cr
Haider,2-Oct-14,6.14 Cr,26.78 Cr,41 Cr,56.09 Cr
Ladies First,2-Oct-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Meinu Ek Ladki Chaahiye,26-Sep-14,N.A. Cr,N.A. Cr,0.07 Cr,0.07 Cr
Chaarfutiya Chhokare,26-Sep-14,0.04 Cr,0.1 Cr,0.21 Cr,0.21 Cr
3 A.M.,26-Sep-14,0.28 Cr,1.20 Cr,1.80 Cr,1.84 Cr
Balwinder Singh… Famous Ho Gaya,26-Sep-14,0.1 Cr,0.28 Cr,0.53 Cr,0.54 Cr
Desi Kattey,26-Sep-14,0.55 Cr,1.75 Cr,2.92 Cr,2.98 Cr
Khoobsurat,19-Sep-14,2.74 Cr,11.53 Cr,19.11 Cr,24.75 Cr
Daawat-e-Ishq,19-Sep-14,3.72 Cr,13.6 Cr,20.43 Cr,25.5 Cr
Finding Fanny,12-Sep-14,5.1 Cr,19.9 Cr,28.09 Cr,35.91 Cr
Creature,12-Sep-14,3.24 Cr,11.36 Cr,17.7 Cr,17.7 Cr
Mary Kom,5-Sep-14,8.4 Cr,30.6 Cr,46 Cr,56.5 Cr
Raja Natwarlal,29-Aug-14,6.10 Cr,17.4 Cr,25.88 Cr,26.83 Cr
Identity Card,29-Aug-14,0 Cr N.A,0 Cr N.A,0.01 Cr,0.02 Cr
Mardaani,22-Aug-14,3.46 Cr,14.46 Cr,22.97 Cr,35.82 Cr
Mad About Dance,22-Aug-14,0 Cr N.A,0 Cr N.A,0.18 Cr,0.20 Cr
Trip to Bhangarh,22-Aug-14,0 Cr N.A,0 Cr N.A,0.12 Cr,0.14 Cr
Katiyabaaz,22-Aug-14,0 Cr N.A,0 Cr N.A,0.09 Cr,0.10 Cr
Life Is Beautiful!,22-Aug-14,N.A. Cr,N.A. Cr,0.04 Cr,0.04 Cr
Singham Returns,15-Aug-14,32.09 Cr,77.69 Cr,112.59 Cr,140.62 Cr
Entertainment,8-Aug-14,11.16 Cr,36.69 Cr,56.50 Cr,72.02 Cr
Lateef: The King Of Crime,1-Aug-14,0 Cr N.A,0 Cr N.A,0.05 Cr,0.06 Cr
Kick,25-Jul-14,26.40 Cr,83.83 Cr,164.09 Cr,231.85 Cr
Riyasat,18-Jul-14,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Aaj Ka Fashion Trend,18-Jul-14,N.A Cr,N.A. Cr,0.01 Cr,0.01 Cr
Amit Sahni Ki List,18-Jul-14,0.69 Cr,2.83 Cr,4.36 Cr,4.36 Cr
Pizza,18-Jul-14,0.75 Cr,2.91 Cr,4.22 Cr,4.25 Cr
Bazaar-E-Husn,18-Jul-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Hate Story 2,18-Jul-14,5.46 Cr,15.85 Cr,25.60 Cr,27.16 Cr
Munna Mange Memsaab,11-Jul-14,N.A. Cr,N.A. Cr,0.02 Cr,0.02 Cr
Humpty Sharma Ki Dulhania,11-Jul-14,9.02 Cr,33.74 Cr,53.31 Cr,76.81 Cr
Bollywood Villa,11-Jul-14,N.A. Cr,N.A. Cr,N.A. Cr,0.02 Cr
Lekar Hum Deewana Dil,4-Jul-14,0.5 Cr,1.6 Cr,2.40 Cr,2.49 Cr
Bobby Jasoos,4-Jul-14,1.79 Cr,7.68 Cr,10.83 Cr,11.74 Cr
Ek Villain,27-Jun-14,16.72 Cr,50.70 Cr,77.20 Cr,105.62 Cr
Humshakals,20-Jun-14,12.5 Cr,40.13 Cr,56.35 Cr,63.72 Cr
Guardians,20-Jun-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
The Untold Story Aahinsa,20-Jun-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Chal Bhaag,13-Jun-14,0 Cr N.A,0 Cr N.A,0.05 Cr,0.07 Cr
Nari Teri Shakti Anokhi,13-Jun-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Machhli Jal Ki Rani Hai,13-Jun-14,N.A. Cr,N.A. Cr,1.08 Cr,1.35 Cr
Unforgettable,13-Jun-14,N.A. Cr,N.A. Cr,0.02 Cr,0.02 Cr
18.11 (A code of Secrecy…!),13-Jun-14,N.A. Cr,N.A. Cr,0.012 Cr,0.012 Cr
Fugly,13-Jun-14,2.95 Cr,9.34 Cr,11.57 Cr,12.28 Cr
Holiday – A Soldier Is Never Off Duty,6-Jun-14,12.18 Cr,41.32 Cr,68.65 Cr,112.45 Cr
Filmistaan,6-Jun-14,0.51 Cr,2.81 Cr,4.91 Cr,6.28 Cr
Kuku Mathur Ki Jhand Ho Gayi,30-May-14,0.33 Cr,1.32 Cr,2.07 Cr,2.15 Cr
Citylights,30-May-14,0.70 Cr,3.57 Cr,6.0 Cr,8.51 Cr
Heropanti,23-May-14,6.63 Cr,21.33 Cr,35.91 Cr,52.92 Cr
Mighty Raju – Rio Calling,16-May-14,0 Cr N.A,0 Cr N.A,0.76 Cr,1.18 Cr
The Xpose,16-May-14,2.97 Cr,10.97 Cr,18.61 Cr,22.77 Cr
M3-Midsummer Midnight Mumbai,16-May-14,0 Cr N.A,0 Cr N.A,0.25 Cr,0.25 Cr
Children of War,16-May-14,0 Cr N.A,0 Cr N.A,0.61 Cr,0.62 Cr
Hawaa Hawaai,9-May-14,0.80 Cr,4.25 Cr,7.70 Cr,10.42 Cr
Mastram,9-May-14,0.50 Cr,2.08 Cr,3.25 Cr,3.35 Cr
Manjunath,9-May-14,0.20 Cr,0 Cr N.A,1.00 Cr,1.00 Cr
Khwaabb,9-May-14,0.20 Cr,0 Cr N.A,0.75 Cr,0.75 Cr
Yeh Hai Bakrapur,9-May-14,0.20 Cr,N.A. Cr,0.70 Cr,0.70 Cr
Koyelaanchal,9-May-14,0.45 Cr,1.42 Cr,2.15 Cr,2.25 Cr
Kya Dilli Kya Lahore,2-May-14,0.08 Cr,0.22 Cr,0.69 Cr,0.69 Cr
Purani Jeans,2-May-14,0.32 Cr,1.1 Cr,1.17 Cr,1.19 Cr
Angry Young Man,1-May-14,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Kahin Hai Mera Pyar,1-May-14,N.A. Cr,N.A. Cr,0.07 Cr,0.07 Cr
Samrat & Co.,25-Apr-14,0.23 Cr,0.82 Cr,1.26 Cr,1.29 Cr
Revolver Rani,25-Apr-14,1.50 Cr,6.50 Cr,8.45 Cr,10.34 Cr
Kaanchi…,25-Apr-14,0.75 Cr,2.36 Cr,3.77 Cr,3.90 Cr
Lucky Kabootar,18-Apr-14,N.A. Cr,N.A. Cr,0.22 Cr,0.27 Cr
Dekh Tamasha Dekh,18-Apr-14,0 Cr N.A,0 Cr N.A,0.15 Cr,0.18 Cr
2 States,18-Apr-14,12.42 Cr,38.06 Cr,60.73 Cr,102.13 Cr
Bhoothnath Returns,11-Apr-14,4.07 Cr,18.02 Cr,30.14 Cr,39.54 Cr
Main Tera Hero,4-Apr-14,6.60 Cr,22.73 Cr,38.48 Cr,50.60 Cr
Jal,4-Apr-14,0.1 Cr,0.5 Cr,0.55 Cr,0.55 Cr
Honour Killing,4-Apr-14,N.A. Cr,N.A. Cr,0.15 Cr,0.15 Cr
Ebn-e-Batuta,4-Apr-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Dishkiyaoon,28-Mar-14,1.03 Cr,3.5 Cr,4.97 Cr,5.23 Cr
Station,28-Mar-14,N.A. Cr,N.A. Cr,0.19 Cr,0.19 Cr
Youngistaan,28-Mar-14,0.98 Cr,4 Cr,6.13 Cr,6.91 Cr
O Teri,28-Mar-14,0.90 Cr,2.25 Cr,3.30 Cr,3.46 Cr
Ankhon Dekhi,21-Mar-14,0 Cr N.A,0 Cr N.A,0.64 Cr,0.74 Cr
Gang of Ghosts,21-Mar-14,N.A. Cr,N.A. Cr,1.55 Cr,1.70 Cr
Lakshmi,21-Mar-14,0 Cr N.A,0 Cr N.A,0.18 Cr,0.18 Cr
Ragini MMS – 2,21-Mar-14,8.43 Cr,24.5 Cr,39.38 Cr,45.99 Cr
Bewakoofiyaan,14-Mar-14,2.23 Cr,7.31 Cr,12.77 Cr,14.01 Cr
Neighbours,14-Mar-14,0 Cr N.A,0 Cr N.A,0.07 Cr,0.07 Cr
W,14-Mar-14,0 Cr N.A,0 Cr N.A,0.04 Cr,0.04 Cr
Total Siyapaa,7-Mar-14,1.11 Cr,4.09 Cr,5.77 Cr,5.94 Cr
Gulaab Gang,7-Mar-14,2.41 Cr,8.84 Cr,12.54 Cr,14.58 Cr
Queen,7-Mar-14,1.80 Cr,10 Cr,18.80 Cr,61 Cr
Shaadi Ke Side Effects,28-Feb-14,5.70 Cr,34.23 Cr,30.83 Cr,37.36 Cr
Anuradha,28-Feb-14,N.A. Cr,N.A. Cr,N.A. Cr,0.015 Cr
Highway,21-Feb-14,3.42 Cr,13.97 Cr,22.38 Cr,30.61 Cr
Dee Saturday Night,21-Feb-14,N.A. Cr,N.A. Cr,0.35 Cr,0.37 Cr
Darr @The Mall,21-Feb-14,1.10 Cr,3.8 Cr,4.80 Cr,4.95 Cr
Gunday,14-Feb-14,16.12 Cr,43.93 Cr,63.08 Cr,78.60 Cr
Babloo Happy Hai,7-Feb-14,0 Cr N.A,0 Cr N.A,0.23 Cr,0.29 Cr
Hasee Toh Phasee,7-Feb-14,4.65 Cr,18.40 Cr,28.55 Cr,37.4 Cr
Ya Rab,7-Feb-14,0 Cr N.A,0 Cr N.A,0.17 Cr,0.23 Cr
Heartless,7-Feb-14,N.A. Cr,0.75 Cr,1.08 Cr,1.19 Cr
One By Two,31-Jan-14,0.60 Cr,1.91 Cr,2.59 Cr,2.63 Cr
Jai Ho,24-Jan-14,17.75 Cr,60.68 Cr,88.78 Cr,116 Cr
Miss Lovely,17-Jan-14,0.15 Cr,0.49 Cr,0 Cr N.A,0.49 Cr
Karle Pyaar Karle,17-Jan-14,0.3 Cr,0.7 Cr,1.17 Cr,1.24 Cr
Strings Of Passion,17-Jan-14,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Paranthe Wali Gali,17-Jan-14,0.05 Cr,0.15 Cr,0 Cr N.A,0.15 Cr
Dedh Ishqiya,10-Jan-14,3.00 Cr,12 Cr,19.64 Cr,27.50 Cr
Yaariyan,10-Jan-14,5.75 Cr,19.2 Cr,31.50 Cr,40.14 Cr
Sholay 3D,3-Jan-14,1.50 Cr,6.30 Cr,8.43 Cr,11.39 Cr
Mr Joe B. Carvalho,3-Jan-14,0.65 Cr,2 Cr,2.95 Cr,3.08 Cr
Star Wars: The Force Awakens (English),25-Dec-15,4.58 Cr,10.02 Cr,15 Cr,15.92 Cr
Bajirao Mastani,18-Dec-15,12.80 Cr,46.77 Cr,86.15 Cr,184.2 Cr
Dilwale,18-Dec-15,21 Cr,65.09 Cr,102.65 Cr,148.72 Cr
The Silent Heroes,11-Dec-15,N.A. Cr,N.A. Cr,0.1 Cr,0.11 Cr
Sorry Daddy,11-Dec-15,0 Cr N.A,0 Cr N.A,0.004 Cr,0.007 Cr
Hate Story 3,4-Dec-15,9.72 Cr,26.82 Cr,42.20 Cr,51.69 Cr
Angry Indian Goddesses,4-Dec-15,0 Cr N.A,0 Cr N.A,1.32 Cr,2.02 Cr
Kajarya,4-Dec-15,0 Cr N.A,0 Cr N.A,0.03 Cr,0.04 Cr
Tamasha,27-Nov-15,10.94 Cr,38.23 Cr,53.46 Cr,67.26 Cr
Yeh Ishq Sarfira,27-Nov-15,0 Cr N.A,0 Cr N.A,0.02 Cr,0.04 Cr
X: Past is Present,20-Nov-15,0 Cr N.A,0 Cr N.A,0.37 Cr,0.4 Cr
Spectre (English),20-Nov-15,8.4 Cr,23.5 Cr,32.75 Cr,36.88 Cr
Run Bhuumi,12-Nov-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Prem Ratan Dhan Payo,12-Nov-15,40.35 Cr,129.77 Cr,172.82 Cr,210.16 Cr
Yaara Silly Silly,6-Nov-15,0 Cr N.A,0 Cr N.A,0.24 Cr,0.26 Cr
Charlie Kay Chakkar Mein,6-Nov-15,0 Cr N.A,0 Cr N.A,0.76 Cr,0.8 Cr
Ranbanka,6-Nov-15,0 Cr N.A,0 Cr N.A,0.08 Cr,0.08 Cr
Four Pillars Of Basement,6-Nov-15,0 Cr N.A,0 Cr N.A,0.15 Cr,0.15 Cr
The Last Horror,30-Oct-15,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Guddu Ki Gun,30-Oct-15,0 Cr N.A,0 Cr N.A,1.78 Cr,1.80 Cr
Love Exchange,30-Oct-15,0 Cr N.A,0 Cr N.A,0.1 Cr,0.1 Cr
Main Aur Charles,30-Oct-15,0 Cr N.A,0 Cr N.A,5.5 Cr,6.06 Cr
Once Upon a Time in Bihar,30-Oct-15,0 Cr N.A,0 Cr N.A,0.08 Cr,0.08 Cr
Titli,30-Oct-15,0.20 Cr,1.05 Cr,1.4 Cr,1.80 Cr
Shaandaar,22-Oct-15,13.10 Cr,33.51 Cr,40.15 Cr,43.13 Cr
Ranviir The Marshal,22-Oct-15,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Jaatiwad,16-Oct-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Chinar Daastaan-E-Ishq,16-Oct-15,0 Cr N.A,0 Cr N.A,0.03 Cr,0.04 Cr
Wedding Pullav,16-Oct-15,0.07 Cr,0.21 Cr,0.47 Cr,0.52 Cr
Hogaya Dimaagh Ka Dahi,16-Oct-15,0 Cr N.A,0 Cr N.A,0.12 Cr,0.15 Cr
Bumper Draw,16-Oct-15,0 Cr N.A,0 Cr N.A,0.03 Cr,0.04 Cr
Pyaar Ka Punchnama 2,16-Oct-15,6.80 Cr,22.75 Cr,39.25 Cr,64.1 Cr
Jazbaa,9-Oct-15,4.23 Cr,15.24 Cr,21.58 Cr,25.23 Cr
Rudhramadevi,9-Oct-15,N.A Cr,N.A Cr,1.95 Cr,2.26 Cr
Hum Sab Ullu Hain,9-Oct-15,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
Grow Up,9-Oct-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Talvar,2-Oct-15,3 Cr,9 Cr,15.55 Cr,30.17 Cr
Dunno Y2 – Life Is A Moment,2-Oct-15,0 Cr N.A,0 Cr N.A,0.04 Cr,0.04 Cr
Singh Is Bliing,2-Oct-15,20.67 Cr,54.44 Cr,77.6 Cr,89.95 Cr
Manchali Padosan,2-Oct-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
The Martian (English),2-Oct-15,0 Cr N.A,0 Cr N.A,8.5 Cr,13 Cr
Puli,1-Oct-15,0 Cr N.A,0 Cr N.A,3.81 Cr,4.05 Cr
Calendar Girls,25-Sep-15,1.5 Cr,3.8 Cr,6.2 Cr,6.31 Cr
Bhaag Johnny,25-Sep-15,0 Cr N.A,0 Cr N.A,1.78 Cr,1.83 Cr
Kis Kisko Pyaar Karoon,25-Sep-15,10.15 Cr,28.81 Cr,43.5 Cr,49.38 Cr
How is Wow,25-Sep-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Timeout,25-Sep-15,0 Cr N.A,0 Cr N.A,0.07 Cr,0.08 Cr
Katti Batti,18-Sep-15,5.28 Cr,16.27 Cr,22.58 Cr,24.41 Cr
Meeruthiya Gangsters,18-Sep-15,0 Cr N.A,0 Cr N.A,0.62 Cr,0.65 Cr
The Perfect Girl – Ek Simple Si Love Story,11-Sep-15,0 Cr N.A,0 Cr N.A,0.007 Cr,0.007 Cr
Hero,11-Sep-15,6.85 Cr,21.10 Cr,30.87 Cr,33.37 Cr
Tera Mera Tedha Medha,11-Sep-15,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Mere Genie Uncle,11-Sep-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
The Transporter: Refueled (English),4-Sep-15,N.A. Cr,N.A. Cr,4.35 Cr,4.85 Cr
Welcome Back,4-Sep-15,14.35 Cr,51 Cr,74.02 Cr,96.69 Cr
Lakhon Hain Yahan Dilwale,4-Sep-15,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Gauraiya,28-Aug-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Baankey Ki Crazy Baraat,28-Aug-15,0 Cr N.A,0 Cr N.A,0.83 Cr,0.88 Cr
Kaun Kitney Paani Mein,28-Aug-15,0 Cr N.A,0 Cr N.A,0.29 Cr,0.29 Cr
Phantom,28-Aug-15,8.46 Cr,33.18 Cr,47.40 Cr,54.19 Cr
Chehere,28-Aug-15,N.A. Cr,N.A. Cr,0.001 Cr,0.001 Cr
The Love is Forever,21-Aug-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Fantastic Four (English),21-Aug-15,N.A. Cr,N.A. Cr,6.25 Cr,6.42 Cr
All Is Well,21-Aug-15,2.91 Cr,11.92 Cr,0 Cr N.A,15.92 Cr
Manjhi The Mountain Man,21-Aug-15,1.40 Cr,6.45 Cr,10.17 Cr,12.53 Cr
Gour Hari Dastaan – The Freedom File,14-Aug-15,0 Cr N.A,0 Cr N.A,0.2 Cr,0.25 Cr
Brothers,14-Aug-15,15.20 Cr,52.08 Cr,72.60 Cr,82.47 Cr
Jaanisaar,7-Aug-15,0 Cr N.A,0 Cr N.A,0.16 Cr,0.17 Cr
Bangistan,7-Aug-15,1 Cr,3.77 Cr,5.49 Cr,5.49 Cr
Mission: Impossible – Rogue Nation (English),7-Aug-15,8 Cr,25.25 Cr,35 Cr,48 Cr
Kala Sach – The Black Truth,7-Aug-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.003 Cr
Mera Badan The Body,31-Jul-15,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Drishyam,31-Jul-15,5.8 Cr,23.05 Cr,36.65 Cr,67.13 Cr
Masaan,24-Jul-15,0 Cr N.A,0 Cr N.A,2.21 Cr,3.65 Cr
Aisa Yeh Jahaan,24-Jul-15,0 Cr N.A,0 Cr N.A,0.01 Cr,0.02 Cr
Ant-Man (English),24-Jul-15,1.36 Cr,4.24 Cr,6.43 Cr,6.93 Cr
Bajrangi Bhaijaan,17-Jul-15,27.25 Cr,102.60 Cr,184.62 Cr,320.34 Cr
Thoda Lutf Thoda Ishq,10-Jul-15,0 Cr N.A,0 Cr N.A,0.02 Cr,0.03 Cr
S.P. Khan Ek Nayi Kranti,10-Jul-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.002 Cr
I Love NY,10-Jul-15,0 Cr N.A,0 Cr N.A,1.49 Cr,1.54 Cr
2 Chehare,10-Jul-15,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Bahubali – The Beginning,10-Jul-15,5.15 Cr,22.35 Cr,46.77 Cr,118.7 Cr
Second Hand Husband,3-Jul-15,N.A. Cr,N.A. Cr,2.45 Cr,2.79 Cr
Madmast Barkhaa,3-Jul-15,0 Cr N.A,0.001 Cr,0 Cr N.A,0.001 Cr
Bezubaan Ishq,3-Jul-15,0 Cr N.A,0.05 Cr,0 Cr N.A,0.08 Cr
Guddu Rangeela,3-Jul-15,1.51 Cr,5.82 Cr,8.77 Cr,8.77 Cr
Terminator Genisys (English),1-Jul-15,6.2 Cr,20 Cr,0 Cr N.A,23.35 Cr
Miss Tanakpur Haazir Ho,26-Jun-15,0.31 Cr,1.03 Cr,1.28 Cr,1.36 Cr
Inside Out (English),26-Jun-15,0.35 Cr,2.05 Cr,3.27 Cr,4.32 Cr
Uvaa,26-Jun-15,0 Cr N.A,0 Cr N.A,0.03 Cr,0.05 Cr
ABCD – Any Body Can Dance – 2,19-Jun-15,14.30 Cr,46.35 Cr,71.78 Cr,105.74 Cr
Hamari Adhuri Kahani,12-Jun-15,5.04 Cr,16.49 Cr,27.12 Cr,34.43 Cr
Jurassic World (English),11-Jun-15,0 Cr N.A,24 Cr,39.9 Cr,101 Cr
Lateef,5-Jun-15,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Dil Dhadakne Do,5-Jun-15,10.53 Cr,37.05 Cr,56.10 Cr,76.88 Cr
Chor Bazaari,29-May-15,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
P Se PM Tak,29-May-15,0 Cr N.A,0 Cr N.A,0.02 Cr,0.04 Cr
I Love Desi,29-May-15,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Ishqedarriyaan,29-May-15,0.27 Cr,1.07 Cr,0 Cr N.A,1.25 Cr
Welcome 2 Karachi,28-May-15,1.68 Cr,5.38 Cr,8.3 Cr,8.3 Cr
Surkhaab,22-May-15,N.A. Cr,N.A. Cr,0.004 Cr,0.004 Cr
Main Hoon (Part-Time) Killer,22-May-15,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Extraordinaari,22-May-15,0 Cr N.A,0 Cr N.A,0.001 Cr,0.002 Cr
Tanu Weds Manu Returns,22-May-15,8.85 Cr,38.15 Cr,70.02 Cr,150.8 Cr
Bombay Velvet,15-May-15,5.20 Cr,16.10 Cr,22.27 Cr,23.67 Cr
Mad Max: Fury Road (English),15-May-15,0 Cr N.A,0 Cr N.A,5.25 Cr,5.25 Cr
Makad Jaala,8-May-15,0 Cr N.A,0 Cr N.A,0.003 Cr,0.004 Cr
Kuch Kuch Locha Hai,8-May-15,0.75 Cr,2.25 Cr,3.22 Cr,3.26 Cr
Piku,8-May-15,5.32 Cr,25.22 Cr,41.42 Cr,79.77 Cr
Sabki Bajegi Band,1-May-15,0 Cr N.A,0 Cr N.A,0.18 Cr,0.23 Cr
Gabbar Is Back,1-May-15,13.05 Cr,39.41 Cr,59.86 Cr,87.55 Cr
Kaagaz Ke Fools,24-Apr-15,0 Cr N.A,0 Cr N.A,0.36 Cr,0.37 Cr
Jai Ho! Democracy,24-Apr-15,0 Cr N.A,0 Cr N.A,0.13 Cr,0.14 Cr
Ishq Ke Parindey,24-Apr-15,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Avengers: Age Of Ultron (English),24-Apr-15,10.98 Cr,36.1 Cr,53.75 Cr,80 Cr
Ek Adhbut Dakshina… Guru Dakshina,17-Apr-15,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
NH-8 – Road To Nidhivan,17-Apr-15,0 Cr N.A,0 Cr N.A,0.03 Cr,0.03 Cr
Margarita With A Straw,17-Apr-15,0.50 Cr,2.06 Cr,3.28 Cr,4.53 Cr
Mr. X,17-Apr-15,4.5 Cr,13.99 Cr,22.75 Cr,24.79 Cr
Broken Horses,10-Apr-15,N.A. Cr,N.A. Cr,N.A. Cr,N.A. Cr
Ek Paheli Leela,10-Apr-15,5.30 Cr,15.85 Cr,24.28 Cr,26.57 Cr
Barefoot To Goa,10-Apr-15,N.A. Cr,N.A. Cr,0.03 Cr,0.03 Cr
Dharam Sankat Mein,10-Apr-15,1.3 Cr,5.15 Cr,7.97 Cr,8.61 Cr
Tere Ishq Mein Qurbaan,3-Apr-15,N.A Cr,N.A Cr,0.001 Cr,0.001 Cr
Detective Byomkesh Bakshy!,3-Apr-15,4.20 Cr,14.06 Cr,19.87 Cr,27.05 Cr
Fast & Furious 7 (English),2-Apr-15,0 Cr N.A,0 Cr N.A,0 Cr N.A,108 Cr
